Orthogroup	GCF_000002945.2_ASM294v3_protein	GCF_000146045.2_R64_protein	GCF_000213175.1_v2.0_protein
OG0001499	NP_587878.1	NP_013513.3	XP_009849966.1
OG0001500	NP_587879.1	NP_012988.1	XP_009853854.1
OG0001501	NP_587883.1	NP_014807.3	XP_009848070.1
OG0001502	NP_587884.2	NP_011281.1	XP_009850903.1
OG0001503	NP_587886.1	NP_010163.1	XP_009851708.1
OG0001504	NP_587887.1	NP_014660.1	XP_009847982.1
OG0001505	NP_587888.2	NP_014647.1	XP_009850774.1
OG0001506	NP_587889.1	NP_013691.1	XP_009855088.1
OG0001507	NP_587890.1	NP_013956.1	XP_009850782.1
OG0001508	NP_587901.1	NP_009381.1	XP_009848637.1
OG0001509	NP_587903.1	NP_011612.3	XP_009850979.1
OG0001510	NP_587904.1	NP_012829.1	XP_009847276.1
OG0001511	NP_587906.1	NP_013487.1	XP_009853370.1
OG0001512	NP_587913.1	NP_012551.2	XP_009851449.1
OG0001513	NP_587922.1	NP_015456.2	XP_009848004.1
OG0001514	NP_587924.1	NP_011561.3	XP_009851083.1
OG0001515	NP_587925.2	NP_010864.3	XP_009856521.1
OG0001516	NP_587928.1	NP_011403.1	XP_009848619.1
OG0001517	NP_587934.1	NP_010970.4	XP_009848207.1
OG0001518	NP_587938.1	NP_015285.1	XP_009855787.1
OG0001519	NP_587942.1	NP_010482.3	XP_009851137.1
OG0001520	NP_587943.2	NP_012911.3	XP_009849340.1
OG0001521	NP_587944.1	NP_009732.1	XP_009850149.1
OG0001522	NP_587954.1	NP_013465.1	XP_009847729.1
OG0001523	NP_587956.1	NP_015513.1	XP_009850825.1
OG0001524	NP_587958.1	NP_011422.1	XP_009856353.1
OG0001525	NP_587964.2	NP_011953.1	XP_009855180.1
OG0001526	NP_587967.1	NP_010436.3	XP_009856508.1
OG0001527	NP_587969.1	NP_013011.1	XP_009847239.1
OG0001528	NP_587980.1	NP_014363.1	XP_009856719.1
OG0001529	NP_587981.1	NP_011538.3	XP_009855278.1
OG0001530	NP_587982.1	NP_011335.1	XP_009850966.1
OG0001531	NP_587983.3	NP_013726.1	XP_009848271.1
OG0001532	NP_587988.1	NP_012873.1	XP_009848363.1
OG0001533	NP_587989.2	NP_013323.1	XP_009848387.1
OG0001534	NP_587991.1	NP_013603.1	XP_009854502.1
OG0001535	NP_587992.1	NP_015407.1	XP_009852718.1
OG0001536	NP_587993.1	NP_011373.1	XP_009850968.1
OG0001537	NP_587994.1	NP_014635.1	XP_009847126.1
OG0001538	NP_587996.1	NP_014414.3	XP_009851139.1
OG0001539	NP_588000.1	NP_010196.1	XP_009854183.1
OG0001540	NP_588003.1, NP_596747.1		XP_009856649.1
OG0001541	NP_588004.2	NP_015344.1	XP_009856751.1
OG0001542	NP_588008.1	NP_010894.1	XP_009850973.1
OG0001543	NP_588011.1	NP_010736.3	XP_009849583.1
OG0001544	NP_588015.1	NP_013676.2	XP_009856961.1
OG0001545	NP_588020.1	NP_011315.3	XP_009856024.1
OG0001546	NP_588025.2	NP_014975.2	XP_009851052.1
OG0001547	NP_588028.1	NP_010080.1	XP_009854503.1
OG0001548	NP_588034.1	NP_012051.3	XP_009855647.1
OG0001549	NP_588036.2	NP_010646.4	XP_009850546.1
OG0001550	NP_588040.1	NP_015007.1	XP_009856799.1
OG0001551	NP_588044.1	NP_011346.1	XP_009856753.1
OG0001552	NP_588045.1	NP_014718.1	XP_009849120.1
OG0001553	NP_588047.1	NP_011716.3	XP_009847671.1
OG0001554	NP_588052.1	NP_010507.3	XP_009854219.1
OG0001555	NP_588059.1	NP_012597.1	XP_009850126.1
OG0001556	NP_588061.1	NP_010216.1	XP_009853696.1
OG0001557	NP_588063.1	NP_010207.1	XP_009851777.1
OG0001558	NP_588066.1	NP_010179.1	XP_009856407.1
OG0001559	NP_588072.1	NP_012183.2	XP_009855176.1
OG0001560	NP_588073.1	NP_015109.1	XP_009850844.1
OG0001561	NP_588074.1	NP_015365.1	XP_009850895.1
OG0001562	NP_588079.1	NP_009353.1	XP_009851042.1
OG0001563	NP_588081.2	NP_011447.1	XP_009850625.1
OG0001564	NP_588085.3	NP_010332.3	XP_009857281.1
OG0001565	NP_588086.1	NP_013652.1	XP_009849411.1
OG0001566	NP_588087.1	NP_014581.1	XP_009854128.1
OG0001567	NP_588091.1	NP_012569.1	XP_009850523.1
OG0001568	NP_588093.1	NP_013319.1	XP_009854300.1
OG0001569	NP_588094.1	NP_009621.3	XP_009857018.1
OG0001570	NP_588095.1	NP_013502.3	XP_009856853.1
OG0001571	NP_588096.1	NP_015249.1	XP_009855243.1
OG0001572	NP_588098.1	NP_014663.1	XP_009849701.1
OG0001573	NP_588106.2	NP_012455.1	XP_009854533.1
OG0001574	NP_588111.2	NP_011968.1	XP_009847933.1
OG0001575	NP_588112.1	NP_013073.1	XP_009851839.1
OG0001576	NP_588118.1	NP_009827.3	XP_009855483.1
OG0001577	NP_588129.2	NP_014014.1	XP_009856430.1
OG0001578	NP_588133.1	NP_014353.1	XP_009847804.1
OG0001579	NP_588137.1	NP_012412.1	XP_009856924.1
OG0001580	NP_588140.1	NP_011704.3	XP_009855970.1
OG0001581	NP_588141.1	NP_014771.3	XP_009856260.1
OG0001582	NP_588145.2	NP_015316.1	XP_009856015.1
OG0001583	NP_588149.1	NP_010066.1	XP_009851230.1
OG0001584	NP_588153.1	NP_010914.3	XP_009855528.1
OG0001585	NP_588154.1	NP_012639.1	XP_009851185.1
OG0001586	NP_588155.1	NP_015430.1	XP_009856160.1
OG0001587	NP_588157.1	NP_009830.3	XP_009856675.1
OG0001588	NP_588162.1	NP_011428.1	XP_009854194.1
OG0001589	NP_588167.1	NP_011283.1	XP_009850145.1
OG0001590	NP_588170.1	NP_011460.3	XP_009850119.1
OG0001591	NP_588185.1	NP_012892.1	XP_009851116.1
OG0001592	NP_588193.1	NP_010680.1	XP_009848813.1
OG0001593	NP_588194.1	NP_012771.1	XP_009856780.1
OG0001594	NP_588195.1	NP_011688.3	XP_009854304.1
OG0001595	NP_588197.2	NP_011331.3	XP_009849714.1
OG0001596	NP_588198.1	NP_010618.1	XP_009849906.1
OG0001597	NP_588199.1	NP_014022.1	XP_009856066.1
OG0001598	NP_588201.1	NP_010920.3	XP_009849753.1
OG0001599	NP_588202.1	NP_015224.1	XP_009849756.1
OG0001600	NP_588203.1	NP_012951.1	XP_009849692.1
OG0001601	NP_588207.1	NP_010612.2	XP_009850720.1
OG0001602	NP_588209.1	NP_015413.1	XP_009848555.1
OG0001603	NP_588213.1	NP_009370.1	XP_009847345.1
OG0001604	NP_588215.2		XP_009849416.1, XP_009852258.1
OG0001605	NP_588219.2	NP_009983.1	XP_009854482.1
OG0001606	NP_588222.1	NP_116686.3	XP_009854372.1
OG0001607	NP_588226.1	NP_010448.1	XP_009849382.1
OG0001608	NP_588227.2	NP_014087.1	XP_009849312.1
OG0001609	NP_588236.1	NP_012117.3, NP_013021.1	
OG0001610	NP_588239.2	NP_014545.2	XP_009854616.1
OG0001611	NP_588251.1	NP_011679.3	XP_009851144.1
OG0001612	NP_588254.1, NP_593758.1		XP_009851963.1
OG0001613	NP_588255.1	NP_014501.1	XP_009852381.1
OG0001614	NP_588256.1	NP_013409.1	XP_009847370.1
OG0001615	NP_588260.2	NP_012381.1	XP_009849515.1
OG0001616	NP_588262.1	NP_013509.1	XP_009856259.1
OG0001617	NP_588267.1	NP_012420.1	XP_009852885.1
OG0001618	NP_588271.1	NP_015295.1	XP_009855417.1
OG0001619	NP_588303.1	NP_009398.1	XP_009853298.1
OG0001620	NP_588309.1	NP_014159.1	XP_009856249.1
OG0001621	NP_588311.1	NP_015422.2	XP_009856020.1
OG0001622	NP_588312.1	NP_009815.1	XP_009855115.1
OG0001623	NP_588314.2	NP_009824.2	XP_009851074.1
OG0001624	NP_588318.1	NP_013889.1	XP_009849409.1
OG0001625	NP_588319.1	NP_011751.1	XP_009855328.1
OG0001626	NP_588320.1	NP_013618.1	XP_009852256.1
OG0001627	NP_588322.2	NP_013139.1	XP_009851653.1
OG0001628	NP_588323.1	NP_011014.1	XP_009854711.1
OG0001629	NP_588324.1	NP_012243.3	XP_009851939.1
OG0001630	NP_588336.1	NP_116709.3	XP_009851256.1
OG0001631	NP_588337.1	NP_011266.1	XP_009851016.1
OG0001632	NP_588338.1	NP_013894.1	XP_009848349.1
OG0001633	NP_588342.1	NP_013945.1	XP_009853535.1
OG0001634	NP_588346.2	NP_010552.3	XP_009853555.1
OG0001635	NP_588348.1	NP_012111.1	XP_009852352.1
OG0001636	NP_588359.2	NP_011367.1	XP_009852372.1
OG0001637	NP_588362.1		XP_009852059.1, XP_009852472.1
OG0001638	NP_588364.1	NP_010818.1	XP_009847549.1
OG0001639	NP_588367.1	NP_010767.1	XP_009847885.1
OG0001640	NP_588370.1	NP_013207.1	XP_009850624.1
OG0001641	NP_588374.1	NP_010475.1	XP_009847234.1
OG0001642	NP_588380.2	NP_013971.1	XP_009849287.1
OG0001643	NP_588382.1	NP_014375.1	XP_009856181.1
OG0001644	NP_588383.1	NP_012331.1	XP_009848365.1
OG0001645	NP_588384.1	NP_009997.2	XP_009855664.1
OG0001646	NP_588385.2	NP_014450.3	XP_009851293.1
OG0001647	NP_588388.1	NP_014901.1	XP_009849211.1
OG0001648	NP_588390.1	NP_010757.3	XP_009857048.1
OG0001649	NP_588391.1	NP_014646.1	XP_009856532.1
OG0001650	NP_588392.1	NP_010449.1	XP_009855948.1
OG0001651	NP_588393.1	NP_013444.1	XP_009855947.1
OG0001652	NP_588395.1	NP_010522.1	XP_009854475.1
OG0001653	NP_588397.3	NP_015061.1	XP_009855147.1
OG0001654	NP_588398.1	NP_014400.1	XP_009855590.1
OG0001655	NP_588399.1	NP_012495.1	XP_009851049.1
OG0001656	NP_588401.1	NP_010278.3	XP_009851203.1
OG0001657	NP_588406.1	NP_011405.1	XP_009852988.1
OG0001658	NP_588410.1	NP_014222.2	XP_009853694.1
OG0001659	NP_588414.1	NP_012995.3	XP_009857169.1
OG0001660	NP_588417.1	NP_011324.1	XP_009855438.1
OG0001661	NP_588430.1	NP_010741.1, NP_013684.1	
OG0001662	NP_588433.1	NP_015228.1	XP_009857038.1
OG0001663	NP_588434.1	NP_015315.1	XP_009856752.1
OG0001664	NP_588435.1	NP_011392.1	XP_009853287.1
OG0001665	NP_588436.1	NP_011848.1	XP_009852987.1
OG0001666	NP_588437.1	NP_010682.3	XP_009853500.1
OG0001667	NP_588440.1	NP_009790.3	XP_009850652.1
OG0001668	NP_588441.1	NP_013273.1	XP_009849899.1
OG0001669	NP_588448.1	NP_014147.1	XP_009851327.1
OG0001670	NP_588449.1	NP_011594.3	XP_009851376.1
OG0001671	NP_588452.2	NP_012746.1	XP_009850817.1
OG0001672	NP_588453.1	NP_014769.3	XP_009851167.1
OG0001673	NP_588455.1	NP_011294.1	XP_009853233.1
OG0001674	NP_588457.1	NP_011520.2	XP_009850938.1
OG0001675	NP_588458.3	NP_013602.1	XP_009852581.1
OG0001676	NP_588459.1	NP_009527.1	XP_009855922.1
OG0001677	NP_588463.1	NP_012503.2	XP_009851990.1
OG0001678	NP_588466.1	NP_011760.3	XP_009851862.1
OG0001679	NP_588467.2	NP_011702.1	XP_009849672.1
OG0001680	NP_588468.3	NP_011341.3	XP_009849674.1
OG0001681	NP_588473.1	NP_013065.1	XP_009853523.1
OG0001682	NP_588475.1	NP_116629.1	XP_009848221.1
OG0001683	NP_588476.1	NP_012731.1	XP_009848222.1
OG0001684	NP_588477.1	NP_014391.1	XP_009848307.1
OG0001685	NP_588480.1	NP_012603.1	XP_009847259.1
OG0001686	NP_588481.1	NP_010115.1	XP_009847258.1
OG0001687	NP_588484.1	NP_009878.1	XP_009850887.1
OG0001688	NP_588487.1	NP_015515.1	XP_009852887.1
OG0001689	NP_588490.1	NP_014013.1	XP_009852276.1
OG0001690	NP_588491.1	NP_015341.1	XP_009850281.1
OG0001691	NP_588494.1	NP_009630.3	XP_009847708.1
OG0001692	NP_588495.1	NP_012170.1	XP_009850216.1
OG0001693	NP_588496.2	NP_014359.3	XP_009851345.1
OG0001694	NP_588498.1	NP_013249.1	XP_009850688.1
OG0001695	NP_588499.2	NP_015078.1	XP_009853401.1
OG0001696	NP_588500.1	NP_012608.1	XP_009852972.1
OG0001697	NP_588502.1	NP_014039.1	XP_009853414.1
OG0001698	NP_588505.1	NP_010584.1	XP_009852012.1
OG0001699	NP_588508.1	NP_013393.1	XP_009851128.1
OG0001700	NP_588509.1	NP_012556.2	XP_009856374.1
OG0001701	NP_588510.1	NP_014167.1	XP_009847689.1
OG0001702	NP_588513.1	NP_010863.1	XP_009849759.1
OG0001703	NP_588514.1	NP_015349.1	XP_009852467.1
OG0001704	NP_588524.1	NP_015387.1	XP_009855953.1
OG0001705	NP_588527.2	NP_013611.1	XP_009852562.1
OG0001706	NP_588529.1	NP_009725.1	XP_009851235.1
OG0001707	NP_588531.1	NP_013378.1	XP_009853980.1
OG0001708	NP_588532.1	NP_013986.1	XP_009851140.1
OG0001709	NP_588533.1	NP_009467.1	XP_009855550.1
OG0001710	NP_588534.1	NP_014997.1	XP_009852825.1
OG0001711	NP_588535.2, NP_596834.1		XP_009853675.1
OG0001712	NP_588537.1	NP_013243.1	XP_009856962.1
OG0001713	NP_588546.2	NP_013198.1	XP_009856311.1
OG0001714	NP_588547.1	NP_012175.1	XP_009848195.1
OG0001715	NP_588548.2	NP_011718.1	XP_009854550.1
OG0001716	NP_588551.1	NP_014289.1	XP_009851906.1
OG0001717	NP_588552.1	NP_010442.3	XP_009857119.1
OG0001718	NP_588554.2	NP_012217.3	XP_009847647.1
OG0001719	NP_588561.1	NP_011052.1	XP_009855860.1
OG0001720	NP_588563.1	NP_009980.1	XP_009849627.1
OG0001721	NP_588564.1	NP_010784.1	XP_009856507.1
OG0001722	NP_592766.1, NP_592776.1, NP_595029.1		
OG0001723	NP_592819.2	NP_011258.2	XP_009854371.1
OG0001724	NP_592821.1	NP_012121.2	XP_009849808.1
OG0001725	NP_592822.1	NP_009735.3	XP_009854631.1
OG0001726	NP_592829.1	NP_012473.1	XP_009850719.1
OG0001727	NP_592830.2	NP_058168.1	XP_009850729.1
OG0001728	NP_592831.2	NP_014758.3	XP_009850716.1
OG0001729	NP_592832.2	NP_013914.1	XP_009856816.1
OG0001730	NP_592836.1		XP_009848887.1, XP_009850186.1
OG0001731	NP_592837.1	NP_013935.1	XP_009848383.1
OG0001732	NP_592840.1	NP_014806.1	XP_009852181.1
OG0001733	NP_592843.1	NP_013214.1	XP_009849980.1
OG0001734	NP_592845.1	NP_009358.1	XP_009857365.1
OG0001735	NP_592852.1	NP_010553.3	XP_009852366.1
OG0001736	NP_592857.1	NP_012856.1	XP_009847646.1
OG0001737	NP_592865.1	NP_014108.1	XP_009847275.1
OG0001738	NP_592866.1	NP_010930.1	XP_009856119.1
OG0001739	NP_592875.1	NP_015388.1	XP_009856261.1
OG0001740	NP_592877.1	NP_011053.1	XP_009849837.1
OG0001741	NP_592884.1	NP_014082.1	XP_009850823.1
OG0001742	NP_592890.1	NP_012017.1	XP_009854382.1
OG0001743	NP_592892.1	NP_014633.1	XP_009856610.1
OG0001744	NP_592893.1	NP_013963.1	XP_009854907.1
OG0001745	NP_592894.1	NP_013360.1	XP_009852002.1
OG0001746	NP_592896.1	NP_076891.4	XP_009850881.1
OG0001747	NP_592898.1	NP_012599.3	XP_009852136.1
OG0001748	NP_592905.1	NP_011721.3	XP_009850016.1
OG0001749	NP_592906.1	NP_009699.2	XP_009850731.1
OG0001750	NP_592907.2	NP_012578.3	XP_009847817.1
OG0001751	NP_592908.1	NP_010468.1	XP_009855086.1
OG0001752	NP_592912.2	NP_014435.3	XP_009851822.1
OG0001753	NP_592914.1	NP_014444.1	XP_009848061.1
OG0001754	NP_592916.1	NP_010928.1	XP_009847936.1
OG0001755	NP_592917.2	NP_010466.3	XP_009850127.1
OG0001756	NP_592919.1	NP_010253.2	XP_009849316.1
OG0001757	NP_592920.1	NP_010693.3	XP_009849368.1
OG0001758	NP_592925.1	NP_012919.3	XP_009853804.1
OG0001759	NP_592928.1	NP_009914.2	XP_009849218.1
OG0001760	NP_592935.1	NP_013951.1	XP_009851820.1
OG0001761	NP_592940.1	NP_015391.1	XP_009856761.1
OG0001762	NP_592941.1	NP_011641.1	XP_009856651.1
OG0001763	NP_592943.1, NP_595845.1		XP_009857276.1
OG0001764	NP_592950.1	NP_014089.2	XP_009856793.1
OG0001765	NP_592953.1	NP_010425.1	XP_009855983.1
OG0001766	NP_592959.1	NP_014246.1	XP_009852504.1
OG0001767	NP_592960.1	NP_011354.3	XP_009850098.1
OG0001768	NP_592961.1	NP_011325.1	XP_009856504.1
OG0001769	NP_592962.1	NP_015432.1	XP_009856040.1
OG0001770	NP_592964.1	NP_010913.2	XP_009855649.1
OG0001771	NP_592965.4	NP_010342.3	XP_009851753.1
OG0001772	NP_592966.1	NP_015504.1	XP_009856257.1
OG0001773	NP_592969.1	NP_010311.1	XP_009856410.1
OG0001774	NP_592970.1	NP_014495.2	XP_009854846.1
OG0001775	NP_592971.1	NP_010800.3	XP_009852679.1
OG0001776	NP_592972.1	NP_012300.3	XP_009856337.1
OG0001777	NP_592974.1, NP_593081.2		XP_009847884.1
OG0001778	NP_592976.1	NP_015366.1	XP_009851134.1
OG0001779	NP_592979.2	NP_009848.4	XP_009851194.1
OG0001780	NP_592983.1	NP_014544.1	XP_009854870.1
OG0001781	NP_592984.1	NP_011936.1	XP_009854437.1
OG0001782	NP_592985.1	NP_010460.1	XP_009854510.1
OG0001783	NP_592987.1	NP_011372.3	XP_009847812.1
OG0001784	NP_592988.2	NP_428268.1	XP_009847793.1
OG0001785	NP_592990.1	NP_011871.1	XP_009856659.1
OG0001786	NP_592992.1	NP_013950.1	XP_009853397.1
OG0001787	NP_592996.1	NP_009996.2	XP_009853768.1
OG0001788	NP_592999.1	NP_012922.1	XP_009853480.1
OG0001789	NP_593000.1	NP_011592.3	XP_009853497.1
OG0001790	NP_593002.1	NP_015134.1	XP_009853476.1
OG0001791	NP_593004.2	NP_014643.1	XP_009853504.1
OG0001792	NP_593007.1	NP_014648.1	XP_009853236.1
OG0001793	NP_593012.1	NP_011607.3	XP_009856797.1
OG0001794	NP_593013.1	NP_012788.2	XP_009855330.1
OG0001795	NP_593015.1	NP_010805.1	XP_009855985.1
OG0001796	NP_593016.1	NP_011391.2	XP_009855982.1
OG0001797	NP_593017.1	NP_012124.1	XP_009853552.1
OG0001798	NP_593025.1	NP_011098.3	XP_009852026.1
OG0001799	NP_593029.1	NP_013557.1	XP_009848830.1
OG0001800	NP_593031.1	NP_012434.1	XP_009848098.1
OG0001801	NP_593042.1	NP_011328.1	XP_009850456.1
OG0001802	NP_593044.2	NP_010965.1	XP_009848455.1
OG0001803	NP_593046.2	NP_015373.1	XP_009849296.1
OG0001804	NP_593047.1	NP_014775.3	XP_009849976.1
OG0001805	NP_593053.2	NP_011421.1	XP_009854107.1
OG0001806	NP_593054.1	NP_014091.1	XP_009850575.1
OG0001807	NP_593058.1	NP_011343.1	XP_009848972.1
OG0001808	NP_593059.1	NP_012626.1	XP_009848971.1
OG0001809	NP_593061.1	NP_010371.1	XP_009847716.1
OG0001810	NP_593066.1	NP_013709.1	XP_009851531.1
OG0001811	NP_593067.2	NP_012982.2	XP_009852270.1
OG0001812	NP_593069.1	NP_013486.3	XP_009848235.1
OG0001813	NP_593070.1	NP_011832.1	XP_009856577.1
OG0001814	NP_593071.1	NP_013497.1	XP_009856578.1
OG0001815	NP_593072.1	NP_014792.4	XP_009851283.1
OG0001816	NP_593074.2	NP_009946.1	XP_009849734.1
OG0001817	NP_593076.1	NP_013117.1	XP_009854483.1
OG0001818	NP_593077.1	NP_012040.1	XP_009849806.1
OG0001819	NP_593078.1	NP_010991.3	XP_009854375.1
OG0001820	NP_593083.1	NP_011420.3	XP_009850697.1
OG0001821	NP_593086.1	NP_015499.1	XP_009853033.1
OG0001822	NP_593089.2	NP_013342.1	XP_009855658.1
OG0001823	NP_593090.1	NP_011979.1	XP_009855600.1
OG0001824	NP_593093.1	NP_009892.1	XP_009855065.1
OG0001825	NP_593094.1	NP_011790.1	XP_009856735.1
OG0001826	NP_593095.3	NP_015168.1	XP_009855984.1
OG0001827	NP_593099.1	NP_014078.1	XP_009852414.1
OG0001828	NP_593101.2	NP_014794.3	XP_009854718.1
OG0001829	NP_593105.1	NP_014945.3	XP_009856028.1
OG0001830	NP_593106.1	NP_014955.1	XP_009852498.1
OG0001831	NP_593111.1	NP_010186.1	XP_009852006.1
OG0001832	NP_593114.1	NP_015196.1	XP_009851214.1
OG0001833	NP_593120.1	NP_014001.1	XP_009850701.1
OG0001834	NP_593121.1	NP_014547.1	XP_009847990.1
OG0001835	NP_593125.1	NP_976246.1	XP_009850713.1
OG0001836	NP_593129.1	NP_009877.1	XP_009848356.1
OG0001837	NP_593130.1	NP_010490.1	XP_009855223.1
OG0001838	NP_593136.2	NP_009760.1	XP_009850928.1
OG0001839	NP_593142.1	NP_011869.1	XP_009855802.1
OG0001840	NP_593143.1	NP_010870.1	XP_009849426.1
OG0001841	NP_593144.1	NP_013736.1	XP_009847694.1
OG0001842	NP_593145.1	NP_009377.2	XP_009847693.1
OG0001843	NP_593150.1	NP_010329.1	XP_009851968.1
OG0001844	NP_593151.1	NP_012655.3	XP_009852363.1
OG0001845	NP_593153.1	NP_014808.1	XP_009852686.1
OG0001846	NP_593163.1	NP_012638.1	XP_009855247.1
OG0001847	NP_593164.1	NP_014968.1	XP_009847902.1
OG0001848	NP_593169.1	NP_012802.1	XP_009850563.1
OG0001849	NP_593171.1, NP_595239.1		XP_009854086.1
OG0001850	NP_593173.2	NP_015324.1	XP_009850628.1
OG0001851	NP_593175.1	NP_013533.1	XP_009850977.1
OG0001852	NP_593181.1	NP_013790.1	XP_009855224.1
OG0001853	NP_593182.1	NP_014127.1	XP_009856903.1
OG0001854	NP_593183.1	NP_013629.1	XP_009855029.1
OG0001855	NP_593185.1	NP_012262.3	XP_009852122.1
OG0001856	NP_593186.1	NP_009668.3	XP_009849904.1
OG0001857	NP_593187.1	NP_009712.1	XP_009850072.1
OG0001858	NP_593188.1	NP_009994.2	XP_009850596.1
OG0001859	NP_593191.1	NP_013703.1	XP_009853022.1
OG0001860	NP_593192.1	NP_012948.3	XP_009848982.1
OG0001861	NP_593202.2	NP_012898.1	XP_009857173.1
OG0001862	NP_593204.1	NP_010219.1	XP_009847225.1
OG0001863	NP_593212.1	NP_012510.3	XP_009851707.1
OG0001864	NP_593214.2	NP_013093.1	XP_009851013.1
OG0001865	NP_593218.1	NP_009365.1	XP_009850104.1
OG0001866	NP_593220.2	NP_012223.3	XP_009848735.1
OG0001867	NP_593221.1	NP_011743.2	XP_009849841.1
OG0001868	NP_593223.1	NP_010368.5	XP_009850083.1
OG0001869	NP_593225.1	NP_013167.1	XP_009847846.1
OG0001870	NP_593235.1	NP_010330.1	XP_009857133.1
OG0001871	NP_593242.1	NP_014499.2	XP_009855554.1
OG0001872	NP_593244.1	NP_010353.3	XP_009854525.1
OG0001873	NP_593252.1	NP_116579.1	XP_009850137.1
OG0001874	NP_593260.1	NP_012461.1	XP_009851333.1
OG0001875	NP_593261.2	NP_014762.3	XP_009851510.1
OG0001876	NP_593268.2	NP_014733.1	XP_009852146.1
OG0001877	NP_593269.1	NP_011468.1	XP_009854511.1
OG0001878	NP_593271.2	NP_014413.1	XP_009851467.1
OG0001879	NP_593277.1	NP_012598.1	XP_009854464.1
OG0001880	NP_593280.1	NP_014415.1	XP_009856660.1
OG0001881	NP_593285.1	NP_013647.1	XP_009848689.1
OG0001882	NP_593290.1	NP_010385.3	XP_009849304.1
OG0001883	NP_593292.1	NP_010146.1	XP_009849202.1
OG0001884	NP_593293.1	NP_011596.1	XP_009849271.1
OG0001885	NP_593296.1	NP_011575.1	XP_009849785.1
OG0001886	NP_593297.1	NP_009681.3	XP_009848258.1
OG0001887	NP_593299.1	NP_012368.1	XP_009848083.1
OG0001888	NP_593300.1	NP_012036.1	XP_009848084.1
OG0001889	NP_593301.1	NP_012903.1	XP_009847930.1
OG0001890	NP_593303.1	NP_013777.1	XP_009852884.1
OG0001891	NP_593304.1	NP_010195.1, NP_013873.1	
OG0001892	NP_593305.1	NP_009410.1	XP_009856267.1
OG0001893	NP_593312.1	NP_014881.2	XP_009847957.1
OG0001894	NP_593315.1	NP_010232.1	XP_009849394.1
OG0001895	NP_593316.1	NP_012726.2	XP_009849066.1
OG0001896	NP_593321.1	NP_015001.1	XP_009854084.1
OG0001897	NP_593323.1	NP_010017.2	XP_009854082.1
OG0001898	NP_593324.1	NP_013929.1	XP_009847688.1
OG0001899	NP_593326.1	NP_014267.1	XP_009853477.1
OG0001900	NP_593330.2	NP_011929.1	XP_009856060.1
OG0001901	NP_593331.2	NP_009971.1	XP_009855341.1
OG0001902	NP_593332.1	NP_010075.1	XP_009857241.1
OG0001903	NP_593333.1	NP_014638.1	XP_009847348.1
OG0001904	NP_593337.1	NP_010072.1	XP_009848075.1
OG0001905	NP_593338.1	NP_014084.1	XP_009855963.1
OG0001906	NP_593341.1	NP_012505.1	XP_009857033.1
OG0001907	NP_593342.1	NP_012392.1	XP_009854205.1
OG0001908	NP_593343.1	NP_011526.1	XP_009856726.1
OG0001909	NP_593344.2	NP_014158.1	XP_009856121.1
OG0001910	NP_593352.1	NP_011015.3	XP_009850673.1
OG0001911	NP_593355.2	NP_012355.1	XP_009855535.1
OG0001912	NP_593362.1	NP_010465.4	XP_009850284.1
OG0001913	NP_593363.1	NP_009626.1	XP_009852452.1
OG0001914	NP_593365.1	NP_009846.1	XP_009857156.1
OG0001915	NP_593369.2	NP_011931.2	XP_009855553.1
OG0001916	NP_593370.1	NP_012056.1	XP_009857187.1
OG0001917	NP_593371.1	NP_014112.1	XP_009855406.1
OG0001918	NP_593375.1	NP_013617.1	XP_009853993.1
OG0001919	NP_593378.1	NP_011374.1	XP_009854115.1
OG0001920	NP_593384.1	NP_011946.1	XP_009853556.1
OG0001921	NP_593388.1	NP_014508.1	XP_009850727.1
OG0001922	NP_593389.2	NP_015283.1	XP_009847428.1
OG0001923	NP_593391.1	NP_010223.1	XP_009851930.1
OG0001924	NP_593394.1	NP_015348.1	XP_009852277.1
OG0001925	NP_593396.1	NP_015110.1	XP_009850946.1
OG0001926	NP_593399.1	NP_012768.1	XP_009851397.1
OG0001927	NP_593403.1	NP_013701.1	XP_009847954.1
OG0001928	NP_593405.2	NP_011940.1	XP_009848458.1
OG0001929	NP_593407.1	NP_013316.1	XP_009850659.1
OG0001930	NP_593408.1	NP_013420.2	XP_009852107.1
OG0001931	NP_593409.2	NP_010365.3	XP_009853777.1
OG0001932	NP_593411.1	NP_011778.1	XP_009848445.1
OG0001933	NP_593413.1	NP_009520.1	XP_009847440.1
OG0001934	NP_593414.2	NP_013604.1	XP_009850974.1
OG0001935	NP_593418.1	NP_058135.1	XP_009848570.1
OG0001936	NP_593420.1	NP_009787.3	XP_009848034.1
OG0001937	NP_593421.3	NP_013947.1	XP_009849799.1
OG0001938	NP_593422.1	NP_009975.1	XP_009850608.1
OG0001939	NP_593423.1	NP_010276.3	XP_009852707.1
OG0001940	NP_593428.2	NP_012923.3	XP_009850485.1
OG0001941	NP_593429.1	NP_009495.1	XP_009848133.1
OG0001942	NP_593434.1	NP_009473.2	XP_009852916.1
OG0001943	NP_593435.1	NP_013394.1	XP_009847194.1
OG0001944	NP_593436.1	NP_014917.3	XP_009848564.1
OG0001945	NP_593437.2	NP_010520.3	XP_009847393.1
OG0001946	NP_593441.1	NP_116628.1	XP_009849746.1
OG0001947	NP_593442.1	NP_014950.1	XP_009850113.1
