Orthogroup	GCA_900044135.1_GZPH1RResV1_protein	GCF_000182925.2_NC12_protein	GCF_000213175.1_v2.0_protein
OG0004482	CEF79604.1	XP_961079.1	XP_009847590.1
OG0004483	CEF79611.1	XP_960901.3	XP_009847812.1
OG0004484	CEF79629.1	XP_965746.1	XP_009857174.1
OG0004485	CEF79645.1	XP_964283.1	XP_009855254.1
OG0004486	CEF79648.1	XP_959369.2	XP_009849040.1
OG0004487	CEF79672.1	XP_958650.2	XP_009855883.1
OG0004488	CEF79675.1	XP_959649.1	XP_009853600.1
OG0004489	CEF79744.1	XP_958910.1	XP_009856094.1
OG0004490	CEF79765.1	XP_959878.1	XP_009853766.1
OG0004491	CEF82776.1	XP_962260.2	XP_009849194.1
OG0004492	CEF82786.1	XP_958896.2	XP_009856109.1
OG0004493	CEF82788.1	XP_957128.2	XP_009850649.1
OG0004494	CEF82794.1	XP_960184.1	XP_009854347.1
OG0004495	CEF82798.1	XP_961124.2	XP_009848265.1
OG0004496	CEF82800.1	XP_964883.3	XP_009855375.1
OG0004497	CEF82809.1	XP_960186.1	XP_009854168.1
OG0004498	CEF82823.1	XP_963880.1	XP_009854935.1
OG0004499	CEF82826.1	XP_961356.2	XP_009847365.1
OG0004500	CEF82830.1	XP_964460.1	XP_009857248.1
OG0004501	CEF82834.1	XP_962409.1	XP_009848862.1
OG0004502	CEF82841.1	XP_960746.2	XP_009848010.1
OG0004503	CEF82843.1	XP_960931.2	XP_009847931.1
OG0004504	CEF82846.1	XP_956376.3	XP_009850851.1
OG0004505	CEF82848.1	XP_956387.3	XP_009850863.1
OG0004506	CEF82850.1	XP_963783.2	XP_009857241.1
OG0004507	CEF82851.1	XP_960181.2	XP_009854350.1
OG0004508	CEF82853.1	XP_964726.1	XP_009857127.1
OG0004509	CEF82857.1	XP_958148.1	XP_009851303.1
OG0004510	CEF82860.1	XP_960423.1	XP_009854112.1
OG0004511	CEF82864.1	XP_960290.1	XP_009854071.1
OG0004512	CEF82869.1	XP_965745.1	XP_009857173.1
OG0004513	CEF82872.1	XP_963891.1	XP_009857057.1
OG0004514	CEF82876.1	XP_959356.2	XP_009849033.1
OG0004515	CEF82879.1	XP_962640.1	XP_009848863.1
OG0004516	CEF82881.1	XP_957697.3	XP_009851004.1
OG0004517	CEF82884.1	XP_965444.2	XP_009856614.1
OG0004518	CEF82888.1	XP_961792.2	XP_009850122.1
OG0004519	CEF82890.1	XP_961610.2	XP_009847336.1
OG0004520	CEF82893.1	XP_960730.1	XP_009847675.1
OG0004521	CEF82894.1	XP_963197.2	XP_009851623.1
OG0004522	CEF82899.1	XP_960573.1	XP_009848025.1
OG0004523	CEF82901.1	XP_965061.1	XP_009856825.1
OG0004524	CEF82903.1	XP_962121.2	XP_009849898.1
OG0004525	CEF82905.1	XP_961545.1	XP_009847316.1
OG0004526	CEF82906.1	XP_959973.1	XP_009853230.1
OG0004527	CEF82908.1	XP_964438.2	XP_009849284.1
OG0004528	CEF82909.1	XP_961720.1	XP_009847155.1
OG0004529	CEF82910.1	XP_011394531.1	XP_009847753.1
OG0004530	CEF82919.1	XP_963715.1	XP_009857067.1
OG0004531	CEF82926.1	XP_959534.2	XP_009853362.1
OG0004532	CEF82937.1	XP_961969.1	XP_009849311.1
OG0004533	CEF82942.1	XP_960651.3	XP_009848028.1
OG0004534	CEF82946.1	XP_957561.1	XP_009854514.1
OG0004535	CEF82951.1	XP_958215.1	XP_009850046.1
OG0004536	CEF82958.1	XP_956078.1	XP_009853839.1
OG0004537	CEF82959.1	XP_957714.3	XP_009850310.1
OG0004538	CEF82962.1	XP_962402.2	XP_009849450.1
OG0004539	CEF82965.1	XP_961777.1	XP_009849165.1
OG0004540	CEF82968.1	XP_959276.3	XP_009853022.1
OG0004541	CEF82970.1	XP_955787.1	XP_009851259.1
OG0004542	CEF82982.1	XP_965263.2	XP_009856048.1
OG0004543	CEF82995.1	XP_956180.2	XP_009851258.1
OG0004544	CEF82996.1	XP_964060.1	XP_009856648.1
OG0004545	CEF82999.1	XP_962112.1	XP_009849907.1
OG0004546	CEF83002.1	XP_960593.1	XP_009848221.1
OG0004547	CEF83010.1	XP_963951.1	XP_009856408.1
OG0004548	CEF83015.1	XP_961978.1	XP_009849303.1
OG0004549	CEF83017.1	XP_957833.2	XP_009851129.1
OG0004550	CEF83020.1	XP_959042.1	XP_009851361.1
OG0004551	CEF83031.1	XP_961216.2	XP_009847339.1
OG0004552	CEF83035.1	XP_961137.2	XP_009847136.1
OG0004553	CEF83036.1	XP_956152.2	XP_009850828.1
OG0004554	CEF83053.1	XP_958879.1	XP_009855926.1
OG0004555	CEF83054.1	XP_956087.2	XP_009854357.1
OG0004556	CEF83057.1	XP_965650.1	XP_009856775.1
OG0004557	CEF83060.1	XP_965317.1	XP_009856237.1
OG0004558	CEF83065.1	XP_961112.2	XP_009848275.1
OG0004559	CEF83067.1	XP_959197.3	XP_009848500.1
OG0004560	CEF83077.1	XP_963869.3	XP_009856396.1
OG0004561	CEF83080.1	XP_960714.1	XP_009847940.1
OG0004562	CEF83086.1	XP_961099.1	XP_009848290.1
OG0004563	CEF83087.1	XP_962756.2	XP_009851441.1
OG0004564	CEF83088.1	XP_959055.2	XP_009851346.1
OG0004565	CEF83091.1	XP_958520.2	XP_009850364.1
OG0004566	CEF83092.1	XP_957341.1	XP_009850608.1
OG0004567	CEF83100.1	XP_957462.1	XP_009849649.1
OG0004568	CEF83102.1	XP_961581.1	XP_009847312.1
OG0004569	CEF83110.1	XP_960383.1	XP_009854136.1
OG0004570	CEF83113.1	XP_958449.1	XP_009852844.1
OG0004571	CEF83114.1	XP_962370.2	XP_009849476.1
OG0004572	CEF83115.1	XP_964044.1	XP_009857050.1
OG0004573	CEF83117.1	XP_958185.1	XP_009855949.1
OG0004574	CEF83121.1	XP_001728541.1	XP_009849659.1
OG0004575	CEF83122.1	XP_962034.1	XP_009849785.1
OG0004576	CEF83129.1	XP_957708.3	XP_009851016.1
OG0004577	CEF83130.1	XP_957979.1	XP_009852968.1
OG0004578	CEF83132.1	XP_957455.1	XP_009849656.1
OG0004579	CEF83135.1	XP_958037.1	XP_009852898.1
OG0004580	CEF83136.1	XP_960884.1	XP_009847824.1
OG0004581	CEF83138.1	XP_961807.3	XP_009849406.1
OG0004582	CEF83140.1	XP_957300.2	XP_009851185.1
OG0004583	CEF83142.1	XP_960777.1	XP_009848017.1
OG0004584	CEF83144.1	XP_962008.2	XP_009850133.1
OG0004585	CEF83146.1	XP_960732.2	XP_009848368.1
OG0004586	CEF83148.1	XP_962039.1	XP_009850015.1
OG0004587	CEF83153.1	XP_959619.1	XP_009853302.1
OG0004588	CEF83156.1	XP_961514.1	XP_009848301.1
OG0004589	CEF83158.1	XP_956382.1	XP_009850858.1
OG0004590	CEF83159.1	XP_956083.1	XP_009854361.1
OG0004591	CEF83161.1	XP_960287.2	XP_009854069.1
OG0004592	CEF83166.1	XP_960376.1	XP_009854056.1
OG0004593	CEF83170.1	XP_957306.1	XP_009850579.1
OG0004594	CEF83172.1	XP_957827.2	XP_009851124.1
OG0004595	CEF83174.1	XP_961567.1	XP_009848061.1
OG0004596	CEF83176.1	XP_961219.2	XP_009848225.1
OG0004597	CEF83177.1	XP_964124.2	XP_009855523.1
OG0004598	CEF83178.1	XP_957332.1	XP_009850601.1
OG0004599	CEF83179.1	XP_964204.1	XP_009856175.1
OG0004600	CEF83180.1	XP_956076.1	XP_009854368.1
OG0004601	CEF83182.1	XP_961393.2	XP_009847979.1
OG0004602	CEF83188.1	XP_965184.1	XP_009854988.1
OG0004603	CEF83189.1	XP_959723.1	XP_009853369.1
OG0004604	CEF83190.1	XP_956161.2	XP_009850837.1
OG0004605	CEF83195.1	XP_958418.3	XP_009855958.1
OG0004606	CEF83202.1	XP_962861.3	XP_009850767.1
OG0004607	CEF83213.1	XP_955800.1	XP_009850844.1
OG0004608	CEF83216.1	XP_958443.1	XP_009852852.1
OG0004609	CEF83218.1	XP_965689.3	XP_009856733.1
OG0004610	CEF83219.1	XP_961048.2	XP_009847326.1
OG0004611	CEF83222.1	XP_960776.1	XP_009848018.1
OG0004612	CEF83223.1	XP_964466.3	XP_009857229.1
OG0004613	CEF83224.1	XP_962488.1	XP_009849838.1
OG0004614	CEF83234.1	XP_956687.2	XP_009851196.1
OG0004615	CEF83241.1	XP_956383.3	XP_009850859.1
OG0004616	CEF83242.1	XP_958835.1	XP_009848565.1
OG0004617	CEF83248.1	XP_963877.1	XP_009855053.1
OG0004618	CEF83251.1	XP_001728059.2	XP_009855026.1
OG0004619	CEF83253.1	XP_958416.1	XP_009855955.1
OG0004620	CEF83254.1	XP_001728496.1	XP_009850946.1
OG0004621	CEF83255.1	XP_961325.2	XP_009848407.1
OG0004622	CEF83258.1	XP_956390.3	XP_009850866.1
OG0004623	CEF83259.1	XP_957776.1	XP_009851078.1
OG0004624	CEF83260.1	XP_962115.1	XP_009849904.1
OG0004625	CEF83263.1	XP_001728029.2	XP_009851285.1
OG0004626	CEF83279.1	XP_963086.2	XP_009850742.1
OG0004627	CEF83280.1	XP_963095.1	XP_009850750.1
OG0004628	CEF83288.1	XP_956182.1	XP_009850323.1
OG0004629	CEF83291.1	XP_961109.3	XP_009848278.1
OG0004630	CEF83298.1	XP_001728295.1	XP_009854061.1
OG0004631	CEF83300.1	XP_959063.1	XP_009851338.1
OG0004632	CEF83302.1	XP_961974.2	XP_009848840.1
OG0004633	CEF83312.1	XP_957811.1	XP_009851113.1
OG0004634	CEF83313.1	XP_961151.3	XP_009847658.1
OG0004635	CEF83314.1	XP_960634.1	XP_009847372.1
OG0004636	CEF83315.1	XP_001728209.1	XP_009850758.1
OG0004637	CEF83320.1	XP_961374.2	XP_009848373.1
OG0004638	CEF83321.1	XP_956441.1	XP_009854765.1
OG0004639	CEF83324.1	XP_957712.1	XP_009851019.1
OG0004640	CEF83331.1	XP_957688.3	XP_009854375.1
OG0004641	CEF83333.1	XP_961891.3	XP_009850145.1
OG0004642	CEF83335.1	XP_960126.1	XP_009854167.1
OG0004643	CEF83337.1	XP_957278.1	XP_009851163.1
OG0004644	CEF83343.1	XP_956112.1	XP_009851516.1
OG0004645	CEF83345.1	XP_959533.3	XP_009853363.1
OG0004646	CEF83350.1	XP_964993.2	XP_009856696.1
OG0004647	CEF83355.1	XP_964356.1	XP_009855688.1
OG0004648	CEF83359.1	XP_961563.2	XP_009848064.1
OG0004649	CEF83360.1	XP_961556.1	XP_009848070.1
OG0004650	CEF83362.1	XP_965423.1	XP_009856636.1
OG0004651	CEF83368.1	XP_957330.1	XP_009850599.1
OG0004652	CEF83371.1	XP_962389.1	XP_009849461.1
OG0004653	CEF83379.1	XP_958575.1	XP_009854643.1
OG0004654	CEF83381.1	XP_961607.1	XP_009847308.1
OG0004655	CEF83383.1	XP_964464.1	XP_009857244.1
OG0004656	CEF83386.1	XP_959703.2	XP_009853390.1
OG0004657	CEF83387.1	XP_958036.1	XP_009852897.1
OG0004658	CEF83388.1	XP_959794.3	XP_009853399.1
OG0004659	CEF83390.1	XP_959980.1	XP_009853222.1
OG0004660	CEF83394.1	XP_959791.2	XP_009853402.1
OG0004661	CEF83401.1	XP_956753.2	XP_009847264.1
OG0004662	CEF83410.1	XP_958478.1	XP_009855935.1
OG0004663	CEF83413.1	XP_956168.3	XP_009851246.1
OG0004664	CEF83415.1	XP_963977.1	XP_009856644.1
OG0004665	CEF83419.1	XP_959194.1	XP_009848497.1
OG0004666	CEF83422.1	XP_961539.1	XP_009847160.1
OG0004667	CEF83425.1	XP_960646.1	XP_009847307.1
OG0004668	CEF83426.1	XP_961888.1	XP_009850148.1
OG0004669	CEF83429.1	XP_960385.1	XP_009854138.1
OG0004670	CEF83430.1	XP_959306.1	XP_009851396.1
OG0004671	CEF83432.1	XP_960933.1	XP_009847287.1
OG0004672	CEF83435.1	XP_959002.3	XP_009851263.1
OG0004673	CEF83436.1	XP_957458.2	XP_009849653.1
OG0004674	CEF83441.1	XP_959308.3	XP_009851398.1
OG0004675	CEF83442.1	XP_960288.1	XP_009854070.1
OG0004676	CEF83444.1	XP_956681.1	XP_009850948.1
OG0004677	CEF83445.1	XP_962159.3	XP_009849976.1
OG0004678	CEF83456.1	XP_958760.1	XP_009847791.1
OG0004679	CEF83457.1	XP_961495.1	XP_009847165.1
OG0004680	CEF83469.1	XP_011394441.1	XP_009850113.1
OG0004681	CEF83477.1	XP_956565.3	XP_009854464.1
OG0004682	CEF83488.1	XP_962489.1	XP_009849837.1
OG0004683	CEF83489.1	XP_956587.2	XP_009850977.1
OG0004684	CEF83490.1	XP_959442.1	XP_009853330.1
OG0004685	CEF83497.1	XP_965071.1	XP_009856815.1
OG0004686	CEF83499.1	XP_963097.3	XP_009850752.1
OG0004687	CEF83512.1	XP_960133.1	XP_009853999.1
OG0004688	CEF83515.1	XP_961971.2	XP_009849309.1
OG0004689	CEF83517.1	XP_957234.1	XP_009850896.1
OG0004690	CEF83519.1	XP_962253.1	XP_009849187.1
OG0004691	CEF83520.1	XP_961564.1	XP_009847314.1
OG0004692	CEF83521.1	XP_956084.3	XP_009854360.1
OG0004693	CEF83527.1	XP_957689.1	XP_009854376.1
OG0004694	CEF83546.1	XP_964076.3	XP_009857258.1
OG0004695	CEF83552.1	XP_962857.2	XP_009850762.1
OG0004696	CEF83559.1	XP_962381.2	XP_009849467.1
OG0004697	CEF83560.1	XP_961139.2	XP_009847244.1
OG0004698	CEF83561.1	XP_956438.1	XP_009854768.1
OG0004699	CEF83565.1	XP_957303.1	XP_009851189.1
OG0004700	CEF83566.1	XP_957882.1	XP_009853421.1
OG0004701	CEF83569.1	XP_957658.1	XP_009854405.1
OG0004702	CEF83570.1	XP_964210.1	XP_009856170.1
OG0004703	CEF83576.1	XP_961968.3	XP_009848758.1
OG0004704	CEF83585.1	XP_956754.2	XP_009847265.1
OG0004705	CEF83586.1	XP_964572.1	XP_009856291.1
OG0004706	CEF83589.1	XP_962394.1	XP_009849458.1
OG0004707	CEF83590.1	XP_957297.2	XP_009851182.1
OG0004708	CEF83592.1	XP_963035.2	XP_009851450.1
OG0004709	CEF83594.1	XP_961898.1	XP_009849416.1
OG0004710	CEF83595.1	XP_959506.3	XP_009853325.1
OG0004711	CEF83596.1	XP_961537.1	XP_009848085.1
OG0004712	CEF83600.1	XP_962860.2	XP_009850765.1
OG0004713	CEF83605.1	XP_960994.2	XP_009847844.1
OG0004714	CEF83612.1	XP_959469.1	XP_009853425.1
OG0004715	CEF83621.1	XP_962987.1	XP_009850680.1
OG0004716	CEF83625.1	XP_957574.1	XP_009854504.1
OG0004717	CEF83628.1	XP_956394.2	XP_009850951.1
OG0004718	CEF83631.1	XP_958419.1	XP_009855959.1
OG0004719	CEF83636.1	XP_959822.2	XP_009853274.1
OG0004720	CEF83637.1	XP_956075.1	XP_009854369.1
OG0004721	CEF83639.1	XP_963094.1	XP_009850749.1
OG0004722	CEF83642.1	XP_956752.3	XP_009854894.1
OG0004723	CEF83644.1	XP_958310.1	XP_009854978.1
OG0004724	CEF83646.1	XP_964396.3	XP_009855606.1
OG0004725	CEF83652.1	XP_959192.1	XP_009847126.1
OG0004726	CEF83657.1	XP_957800.2	XP_009851103.1
OG0004727	CEF83666.1	XP_960030.1	XP_009853183.1
OG0004728	CEF83667.1	XP_961611.2	XP_009848214.1
OG0004729	CEF83670.1	XP_959221.3	XP_009852971.1
OG0004730	CEF83673.1	XP_960944.2	XP_009847921.1
OG0004731	CEF83677.1	XP_957571.1	XP_009853785.1
OG0004732	CEF83687.1	XP_958147.2	XP_009851302.1
OG0004733	CEF83689.1	XP_961984.1	XP_009849298.1
OG0004734	CEF83692.1	XP_961003.2	XP_009847837.1
OG0004735	CEF83695.1	XP_957319.1	XP_009850589.1
OG0004736	CEF83699.1	XP_955998.2	XP_009847257.1
OG0004737	CEF83707.1	XP_960403.1	XP_009854151.1
OG0004738	CEF83712.1	XP_964041.3	XP_009857047.1
OG0004739	CEF83717.1	XP_964042.1	XP_009857048.1
OG0004740	CEF83722.1	XP_955966.1	XP_009847755.1
OG0004741	CEF83728.1	XP_957538.3	XP_009854531.1
OG0004742	CEF83730.1	XP_960345.1	XP_009853969.1
OG0004743	CEF83737.1	XP_961975.1	XP_009849306.1
OG0004744	CEF83740.1	XP_961391.2	XP_009847981.1
OG0004745	CEF83748.1	XP_963098.2	XP_009850753.1
OG0004746	CEF83749.1	XP_960991.1	XP_009847407.1
OG0004747	CEF83753.1	XP_964684.1	XP_009855649.1
OG0004748	CEF83759.1	XP_960738.1	XP_009848365.1
OG0004749	CEF83760.1	XP_961540.3	XP_009848084.1
OG0004750	CEF83762.1	XP_959307.3	XP_009851397.1
OG0004751	CEF83763.1	XP_961899.3	XP_009849415.1
OG0004752	CEF83768.1	XP_962617.1	XP_009849935.1
OG0004753	CEF83773.1	XP_960614.2	XP_009848541.1
OG0004754	CEF83775.1	XP_961183.1	XP_009848250.1
OG0004755	CEF83780.1	XP_961094.2	XP_009848294.1
OG0004756	CEF83786.1	XP_957929.2	XP_009850040.1
OG0004757	CEF83787.1	XP_959796.2	XP_009853397.1
OG0004758	CEF83789.1	XP_957268.1	XP_009851151.1
OG0004759	CEF83790.1	XP_961214.1	XP_009848229.1
OG0004760	CEF83791.1	XP_962396.3	XP_009849456.1
OG0004761	CEF83792.1	XP_958893.2	XP_009856112.1
OG0004762	CEF83802.1	XP_961998.1	XP_009850028.1
OG0004763	CEF83805.1	XP_959020.1	XP_009851284.1
OG0004764	CEF83810.1	XP_963974.3	XP_009856646.1
OG0004765	CEF83818.1	XP_956750.2	XP_009854850.1
OG0004766	CEF83821.1	XP_956605.1	XP_009850999.1
OG0004767	CEF83826.1	XP_957315.1	XP_009850210.1
OG0004768	CEF83827.1	XP_958477.3	XP_009855934.1
OG0004769	CEF83830.1	XP_958764.1	XP_009847270.1
OG0004770	CEF83835.1	XP_959465.2	XP_009853429.1
OG0004771	CEF83839.1	XP_960864.2	XP_009847253.1
OG0004772	CEF83842.1	XP_961203.1	XP_009848235.1
OG0004773	CEF83853.1	XP_956682.1	XP_009850949.1
OG0004774	CEF83857.1	XP_959223.2	XP_009852973.1
OG0004775	CEF83864.1	XP_961451.3	XP_009848351.1
OG0004776	CEF83873.1	XP_956427.1	XP_009854777.1
OG0004777	CEF83875.1	XP_958415.1	XP_009855954.1
OG0004778	CEF83879.1	XP_957887.3	XP_009850044.1
OG0004779	CEF83882.1	XP_960179.1	XP_009854351.1
OG0004780	CEF83883.1	XP_959434.2	XP_009853338.1
OG0004781	CEF83886.1	XP_956395.3	XP_009850952.1
OG0004782	CEF83889.1	XP_959821.1	XP_009852791.1
OG0004783	CEF83891.1	XP_957124.1	XP_009850643.1
OG0004784	CEF83897.1	XP_955974.2	XP_009847760.1
OG0004785	CEF83899.1	XP_963991.2	XP_009855286.1
OG0004786	CEF83904.1	XP_964206.2	XP_009856173.1
OG0004787	CEF83906.1	XP_959222.1	XP_009852972.1
OG0004788	CEF83907.1	XP_957831.1	XP_009851128.1
OG0004789	CEF83911.1	XP_961886.1	XP_009850150.1
OG0004790	CEF83914.1	XP_964429.2	XP_009849296.1
OG0004791	CEF83916.1	XP_958692.1	XP_009847403.1
OG0004792	CEF83918.1	XP_959229.2	XP_009852979.1
OG0004793	CEF83922.1	XP_961309.2	XP_009847691.1
OG0004794	CEF83925.1	XP_957360.1	XP_009850625.1
OG0004795	CEF83931.1	XP_957921.2	XP_009847794.1
OG0004796	CEF83934.1	XP_957892.2	XP_009854628.1
OG0004797	CEF83936.1	XP_960861.1	XP_009847738.1
OG0004798	CEF83938.1	XP_965067.3	XP_009856818.1
OG0004799	CEF83942.1	XP_956396.2	XP_009850953.1
OG0004800	CEF83946.1	XP_957135.1	XP_009850657.1
OG0004801	CEF83954.1	XP_957265.1	XP_009851146.1
OG0004802	CEF83955.1	XP_958750.1	XP_009853104.1
OG0004803	CEF83957.1	XP_957274.3	XP_009851157.1
OG0004804	CEF83961.1	XP_001728235.1	XP_009852751.1
OG0004805	CEF83962.1	XP_962719.2	XP_009850679.1
OG0004806	CEF83965.1	XP_957724.2	XP_009851032.1
OG0004807	CEF83967.1	XP_957459.1	XP_009849652.1
OG0004808	CEF83968.1	XP_959601.1	XP_009853346.1
OG0004809	CEF83976.1	XP_960653.2	XP_009847305.1
OG0004810	CEF83979.1	XP_958734.1	XP_009853118.1
OG0004811	CEF83980.1	XP_962373.1	XP_009849473.1
OG0004812	CEF83987.1	XP_964397.2	XP_009855607.1
OG0004813	CEF83988.1	XP_961760.2	XP_009849960.1
OG0004814	CEF83998.1	XP_957749.2	XP_009851054.1
OG0004815	CEF84003.1	XP_957017.1	XP_009850818.1
OG0004816	CEF84004.1	XP_962637.2	XP_009849956.1
OG0004817	CEF84005.1	XP_964640.1	XP_009855118.1
OG0004818	CEF84006.1	XP_965624.1	XP_009856967.1
OG0004819	CEF84010.1	XP_959820.1	XP_009853275.1
OG0004820	CEF84012.1	XP_964946.1	XP_009855660.1
OG0004821	CEF84013.1	XP_957956.3	XP_009854630.1
OG0004822	CEF84017.1	XP_956147.3	XP_009849661.1
OG0004823	CEF84020.1	XP_957231.3	XP_009850893.1
OG0004824	CEF84022.1	XP_958423.1	XP_009855965.1
OG0004825	CEF84024.1	XP_960663.1	XP_009848682.1
OG0004826	CEF84026.1	XP_959603.2	XP_009853344.1
OG0004827	CEF84027.1	XP_011393537.1	XP_009852499.1
OG0004828	CEF84035.1	XP_957999.2	XP_009853025.1
OG0004829	CEF84037.1	XP_956791.1	XP_009851239.1
OG0004830	CEF84038.1	XP_964413.3	XP_009856193.1
OG0004831	CEF84041.1	XP_962725.2	XP_009850227.1
OG0004832	CEF84046.1	XP_960985.1	XP_009848676.1
OG0004833	CEF84050.1	XP_961134.2	XP_009847673.1
OG0004834	CEF84053.1	XP_961542.2	XP_009848082.1
OG0004835	CEF84054.1	XP_959289.2	XP_009851387.1
OG0004836	CEF84055.1	XP_959164.3	XP_009855982.1
OG0004837	CEF84056.1	XP_962116.1	XP_009849903.1
OG0004838	CEF84057.1	XP_955846.1	XP_009847766.1
OG0004839	CEF84062.1	XP_962525.2	XP_009849382.1
OG0004840	CEF84063.1	XP_961917.2	XP_009850094.1
OG0004841	CEF84066.1	XP_962248.1	XP_009849185.1
OG0004842	CEF84069.1	XP_965710.2	XP_009856709.1
OG0004843	CEF84071.1	XP_964461.1	XP_009857247.1
OG0004844	CEF84074.1	XP_959793.2	XP_009853400.1
OG0004845	CEF84078.1	XP_961996.3	XP_009848832.1
OG0004846	CEF84081.1	XP_961723.3	XP_009847133.1
OG0004847	CEF84082.1	XP_957466.2	XP_009849645.1
OG0004848	CEF84087.1	XP_962490.1	XP_009849836.1
OG0004849	CEF84088.1	XP_963089.1	XP_009850745.1
OG0004850	CEF84093.1	XP_958420.1	XP_009855960.1
OG0004851	CEF84097.1	XP_959054.2	XP_009851347.1
OG0004852	CEF84100.1	XP_964132.1	XP_009855517.1
OG0004853	CEF84102.1	XP_959819.2	XP_009853276.1
OG0004854	CEF84108.1	XP_961817.1	XP_009849268.1
OG0004855	CEF84110.1	XP_001728028.2	XP_009851283.1
OG0004856	CEF84113.1	XP_965451.2	XP_009856607.1
OG0004857	CEF84116.1	XP_965068.2	XP_009856817.1
OG0004858	CEF84119.1	XP_955799.1	XP_009850843.1
OG0004859	CEF84120.1	XP_960132.1	XP_009854001.1
OG0004860	CEF84121.1	XP_960436.1	XP_009854124.1
OG0004861	CEF84124.1	XP_958184.1	XP_009855948.1
OG0004862	CEF84126.1	XP_957302.2	XP_009851188.1
OG0004863	CEF84127.1	XP_961541.1	XP_009848083.1
OG0004864	CEF84129.1	XP_959803.2	XP_009853293.1
OG0004865	CEF84132.1	XP_960574.3	XP_009848024.1
OG0004866	CEF84138.1	XP_962991.1	XP_009850683.1
OG0004867	CEF84148.1	XP_959507.2	XP_009853324.1
OG0004868	CEF84150.1	XP_959814.1	XP_009853282.1
OG0004869	CEF84153.1	XP_961981.1	XP_009849301.1
OG0004870	CEF84156.1	XP_959062.1	XP_009851339.1
OG0004871	CEF84157.1	XP_961104.1	XP_009848284.1
OG0004872	CEF84158.1	XP_958833.1	XP_009847392.1
OG0004873	CEF84161.1	XP_961205.2	XP_009847167.1
OG0004874	CEF84166.1	XP_959056.1	XP_009851345.1
OG0004875	CEF84168.1	XP_957728.2	XP_009851035.1
OG0004876	CEF84172.1	XP_964585.2	XP_009856275.1
OG0004877	CEF84173.1	XP_960336.1	XP_009853979.1
OG0004878	CEF84174.1	XP_959161.2	XP_009855985.1
OG0004879	CEF84177.1	XP_965079.3	XP_009856808.1
OG0004880	CEF84188.1	XP_962543.1	XP_009849367.1
OG0004881	CEF84189.1	XP_963017.1	XP_009851467.1
OG0004882	CEF84190.1	XP_964465.3	XP_009857243.1
OG0004883	CEF84191.1	XP_958603.1	XP_009851329.1
OG0004884	CEF84192.1	XP_964546.1	XP_009855572.1
OG0004885	CEF84193.1	XP_001728507.1	XP_009851148.1
OG0004886	CEF84195.1	XP_965318.1	XP_009856236.1
OG0004887	CEF84198.1	XP_965058.2	XP_009856828.1
OG0004888	CEF84200.1	XP_962246.2	XP_009848749.1
OG0004889	CEF84201.1	XP_962249.3	XP_009848724.1
OG0004890	CEF84209.1	XP_957985.2	XP_009851375.1
OG0004891	CEF84210.1	XP_964045.3	XP_009857051.1
OG0004892	CEF84211.1	XP_959022.1	XP_009851287.1
OG0004893	CEF84213.1	XP_957321.1	XP_009850591.1
OG0004894	CEF84216.1	XP_961123.1	XP_009848266.1
OG0004895	CEF84217.1	XP_963874.1	XP_009855050.1
OG0004896	CEF84222.1	XP_959012.2	XP_009851275.1
OG0004897	CEF84223.1	XP_001728522.1	XP_009852851.1
OG0004898	CEF84224.1	XP_957540.1	XP_009854530.1
OG0004899	CEF84226.1	XP_001728485.1	XP_009850825.1
OG0004900	CEF84229.1	XP_959196.1	XP_009848499.1
OG0004901	CEF84230.1	XP_964469.1	XP_009857232.1
OG0004902	CEF84231.1	XP_961355.1	XP_009848387.1
OG0004903	CEF84236.1	XP_957554.2	XP_009854519.1
OG0004904	CEF84242.1	XP_001728317.2	XP_009847990.1
OG0004905	CEF84243.1	XP_962113.1	XP_009849906.1
OG0004906	CEF84250.1	XP_956746.2	XP_009847777.1
OG0004907	CEF84253.1	XP_965690.2	XP_009856732.1
OG0004908	CEF84257.1	XP_963088.1	XP_009850744.1
OG0004909	CEF84258.1	XP_961315.2	XP_009847686.1
OG0004910	CEF84259.1	XP_960729.1	XP_009847676.1
OG0004911	CEF84264.1	XP_961388.2	XP_009847984.1
OG0004912	CEF84265.1	XP_962120.1	XP_009849899.1
OG0004913	CEF84267.1	XP_963093.2	XP_009850748.1
OG0004914	CEF84277.1	XP_961999.3	XP_009850141.1
OG0004915	CEF84278.1	XP_965312.1	XP_009856241.1
OG0004916	CEF84281.1	XP_958268.2	XP_009851314.1
OG0004917	CEF84284.1	XP_957732.2	XP_009851039.1
OG0004918	CEF84286.1	XP_962166.2	XP_009849983.1
OG0004919	CEF84289.1	XP_956683.1	XP_009850950.1
OG0004920	CEF84290.1	XP_962285.2	XP_009849328.1
OG0004921	CEF84294.1	XP_956185.1	XP_009850916.1
OG0004922	CEF84299.1	XP_960437.1	XP_009854125.1
OG0004923	CEF84301.1	XP_961972.3	XP_009849308.1
OG0004924	CEF84303.1	XP_956747.2	XP_009847778.1
OG0004925	CEF84311.1	XP_958956.3	XP_009853133.1
OG0004926	CEF84315.1	XP_959799.1	XP_009853395.1
OG0004927	CEF84321.1	XP_962118.1	XP_009849901.1
OG0004928	CEF84323.1	XP_959773.1	XP_009853419.1
OG0004929	CEF84331.1	XP_960330.1	XP_009853985.1
OG0004930	CEF84335.1	XP_959716.1	XP_009853377.1
